	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	Dsad_hide_4scale	Dsad_hide_4scale	Dsad_hide_4scale	Dsad_hide_4scale	Dsad_hide_4scale	Dsad_hide_4scale	Dsad_hide_4scale	Dsad_hide_4scale
								
Dedu_level	0.0670	0.0628	0.0626	0.0626				
	(0.0542)	(0.0548)	(0.0547)	(0.0548)				
Dbirth_rate	0.164*	0.157*	0.156*	0.156*	0.162*	0.156*	0.155*	0.155*
	(0.0915)	(0.0898)	(0.0903)	(0.0905)	(0.0913)	(0.0897)	(0.0902)	(0.0903)
DVeryEarly_disease_d	0.0482	0.0568	0.0600	0.0621	0.0481	0.0569	0.0602	0.0622
	(0.326)	(0.327)	(0.331)	(0.332)	(0.326)	(0.327)	(0.331)	(0.332)
Dincome		0.0395	0.0399	0.0417		0.0406	0.0409	0.0426
		(0.0734)	(0.0733)	(0.0749)		(0.0735)	(0.0734)	(0.0750)
Dmarried			0.000584	0.00221			-0.000304	0.00124
			(0.106)	(0.107)			(0.106)	(0.107)
Dhealth			0.0117	0.0118			0.0112	0.0113
			(0.0655)	(0.0656)			(0.0656)	(0.0656)
Dwork_over_40h				-0.0153				-0.0145
				(0.0936)				(0.0935)
sDedu_level					0.0631	0.0587	0.0586	0.0586
					(0.0545)	(0.0553)	(0.0553)	(0.0553)
								
Observations	660	660	660	660	660	660	660	660
Robust standard errors in parentheses								
*** p<0.01, ** p<0.05, * p<0.1								
