	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	Dscared_4scale	Dscared_4scale	Dscared_4scale	Dscared_4scale	Dscared_4scale	Dscared_4scale	Dscared_4scale	Dscared_4scale
								
Dedu_level	-0.0568	-0.0571	-0.0561	-0.0553				
	(0.0347)	(0.0347)	(0.0347)	(0.0343)				
Dbirth_rate	0.0959	0.0955	0.0950	0.0965	0.0974	0.0970	0.0964	0.0980
	(0.0650)	(0.0655)	(0.0648)	(0.0638)	(0.0649)	(0.0653)	(0.0646)	(0.0637)
DVeryEarly_disease_d	-0.151	-0.150	-0.154	-0.180	-0.151	-0.150	-0.154	-0.180
	(0.278)	(0.278)	(0.276)	(0.258)	(0.278)	(0.278)	(0.276)	(0.258)
Dincome		0.00218	0.00113	-0.0204		0.00235	0.00139	-0.0198
		(0.0440)	(0.0443)	(0.0447)		(0.0440)	(0.0442)	(0.0446)
Dmarried			-0.0559	-0.0756			-0.0554	-0.0750
			(0.0623)	(0.0610)			(0.0623)	(0.0609)
Dhealth			-0.0564	-0.0582			-0.0559	-0.0577
			(0.0372)	(0.0372)			(0.0371)	(0.0372)
Dwork_over_40h				0.185***				0.184***
				(0.0588)				(0.0588)
sDedu_level					-0.0597*	-0.0600*	-0.0595*	-0.0596*
					(0.0350)	(0.0350)	(0.0350)	(0.0346)
								
Observations	660	660	660	660	660	660	660	660
Robust standard errors in parentheses								
*** p<0.01, ** p<0.05, * p<0.1								
