	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	Dscared_hide_4scale	Dscared_hide_4scale	Dscared_hide_4scale	Dscared_hide_4scale	Dscared_hide_4scale	Dscared_hide_4scale	Dscared_hide_4scale	Dscared_hide_4scale
								
Dedu_level	0.0392	0.0360	0.0366	0.0368				
	(0.0542)	(0.0553)	(0.0553)	(0.0553)				
Dbirth_rate	0.162	0.158	0.154	0.155	0.162	0.157	0.154	0.154
	(0.0997)	(0.0985)	(0.0983)	(0.0986)	(0.0997)	(0.0984)	(0.0983)	(0.0986)
DVeryEarly_disease_d	-0.287	-0.280	-0.276	-0.284	-0.287	-0.280	-0.276	-0.284
	(0.188)	(0.189)	(0.192)	(0.192)	(0.187)	(0.189)	(0.192)	(0.191)
Dincome		0.0305	0.0303	0.0237		0.0325	0.0324	0.0258
		(0.0729)	(0.0732)	(0.0751)		(0.0729)	(0.0733)	(0.0752)
Dmarried			-0.0602	-0.0663			-0.0611	-0.0672
			(0.0964)	(0.0975)			(0.0962)	(0.0973)
Dhealth			-0.0320	-0.0326			-0.0322	-0.0328
			(0.0659)	(0.0656)			(0.0659)	(0.0657)
Dwork_over_40h				0.0571				0.0571
				(0.0864)				(0.0863)
sDedu_level					0.0289	0.0253	0.0256	0.0255
					(0.0548)	(0.0560)	(0.0561)	(0.0561)
								
Observations	660	660	660	660	660	660	660	660
Robust standard errors in parentheses								
*** p<0.01, ** p<0.05, * p<0.1								
